"Variable","VIF","Tolerance","Status"
"educ",2.807,0.356,"oK"
"age",30.906,0.032,"severe"
"age2",31.401,0.032,"severe"
"hours",1.061,0.942,"oK"
"male",1.139,0.878,"oK"
"cert",1.094,0.914,"oK"
"contract",1.23,0.813,"oK"
"state",1.142,0.875,"oK"
"fdi",1.362,0.734,"oK"
"match",14.45,0.069,"severe"
"educxmatch",17.387,0.058,"severe"
"bhxh",1.613,0.62,"oK"
