"Variable","VIF","Tolerance","Status"
"educ",3.049,0.328,"oK"
"age",35.708,0.028,"severe"
"age2",35.921,0.028,"severe"
"hours",1.047,0.955,"oK"
"cert",1.065,0.939,"oK"
"contract",1.333,0.75,"oK"
"state",1.189,0.841,"oK"
"fdi",1.335,0.749,"oK"
"match",14.004,0.071,"severe"
"educxmatch",17.279,0.058,"severe"
"bhxh",1.698,0.589,"oK"
